,Name,CountryCode,Population
235,Å umen,BGR,94686
993,Å ostka,UKR,90000
699,Å iauliai,LTU,146563
523,Å ahty,RUS,221800
967,Ã‡orum,TUR,145495
129,Ãguas Lindas de GoiÃ¡s,BRA,89200
766,al-Zarqa,JOR,389815
910,al-Tuqba,SAU,125700
907,al-Taif,SAU,416100
587,al-Sulaymaniya,IRQ,364096
510,al-Rusayfa,JOR,137247
930,al-Raqqa,SYR,108020
590,al-Ramadi,IRQ,192556
929,al-Qamishliya,SYR,144286
589,al-Nasiriya,IRQ,265937
908,al-Mubarraz,SAU,219100
175,al-Mansura,EGY,369621
64,al-Manama,BHR,148000
263,al-Mahallat al-Kubra,EGY,395402
909,al-Kharj,SAU,152100
588,al-Hilla,IRQ,268834
923,al-Fashir,SDN,141884
266,al-Faiyum,EGY,260964
392,al-Diwaniya,IRQ,196519
18,al-Ayn,ARE,225970
273,al-Arish,EGY,100447
299,[San CristÃ³bal de] la Laguna,ESP,127945
926,ZÃ¼rich,CHE,336800
7,Zwolle,NLD,105819
868,Zunyi,CHN,261862
536,Zukovski,RUS,96500
11,Zoetermeer,NLD,110214
946,Zixing,CHN,110048
754,Zinacantepec,MEX,121715
846,Zigong,CHN,393184
562,Zhuzhou,CHN,409924
937,Zhumadian,CHN,123232
603,Zhuhai,CHN,164747
955,Zhucheng,CHN,102134
912,Zhoushan,CHN,156317
917,Zhoukou,CHN,146288
865,Zhongshan,CHN,278829
536,Zhezqazghan,KAZ,90000
817,Zhengzhou,CHN,2107200
591,Zhaoqing,CHN,194784
898,Zhaodong,CHN,179976
896,Zhangzhou,CHN,181424
563,Zhangjiang,CHN,400997
835,Zhangjiakou,CHN,530000
958,Zhangjiagang,CHN,97994
57,Zenica,BIH,96027
720,Zapopan,MEX,1002239
908,Zaoyang,CHN,162198
944,Zanzibar,TZA,157634
599,Zanjan,IRN,286295
744,Zamora,MEX,161191
219,Zamboanga,PHL,601794
733,Zama,JPN,122046
396,Zahedan,IRN,419518
176,Zagazig,EGY,267351
841,Zabrze,POL,200177
616,Zabol,IRN,100887
8,Zaanstad,NLD,135621
961,Yuzhou,CHN,92889
942,Yuyao,CHN,114065
631,Yuncheng,CHN,108359
947,Yumen,CHN,109234
611,Yulin,CHN,144467
860,Yueyang,CHN,302800
676,Yosu,KOR,183596
221,York,GBR,104425
945,YongÂ´an,CHN,111762
683,Yongchon,KOR,113511
756,Yonezawa,JPN,95592
481,Yonago,JPN,136461
447,Yokosuka,JPN,430200
686,Yokkaichi,JPN,288173
630,Yizheng,CHN,109268
885,Yixing,CHN,200824
555,Yinchuan,CHN,544500
551,Yichun,CHN,800000
848,Yichang,CHN,371601
873,Yibin,CHN,241019
35,Yerevan,ARM,1248700
557,Yeotmal (Yavatmal),IND,108578
638,YaÂ´an,CHN,95900
744,Yatsushiro,JPN,107661
773,YaoundÃ©,CMR,1372800
689,Yao,JPN,276421
628,YanÂ´an,CHN,113277
559,Yantai,CHN,452127
582,Yanji,CHN,230892
858,Yangzhou,CHN,312892
677,Yangsan,KOR,163351
851,Yangquan,CHN,362268
778,Yangor,NRU,4050
879,Yangjiang,CHN,215196
862,Yancheng,CHN,296831
523,Yamuna Nagar,IND,144346
803,Yamoussoukro,CIV,130000
465,Yamato,JPN,208234
722,Yamaguchi,JPN,138210
692,Yamagata,JPN,255617
564,Yakeshi,CHN,377869
739,Yaizu,JPN,117258
827,Xuzhou,CHN,810000
883,Xuchang,CHN,208815
542,XiÂ´an,CHN,2761400
637,Xinzhou,CHN,98667
903,Xinyu,CHN,173524
592,Xinyang,CHN,192509
558,Xinxiang,CHN,473762
552,Xining,CHN,700200
954,Xingcheng,CHN,102384
641,Xilin Hot,CHN,90646
925,Xichang,CHN,134419
604,Xiaoshan,CHN,162930
905,Xiaogan,CHN,166280
853,Xianyang,CHN,352125
877,Xiantao,CHN,222884
614,Xianning,CHN,136811
841,Xiangtan,CHN,441968
729,Xalapa,MEX,390058
587,Wuzhou,CHN,210452
550,Wuxi,CHN,830000
617,Wuwei,CHN,133101
880,Wuppertal,DEU,368993
560,Wuhu,CHN,425740
540,Wuhan,CHN,4344600
222,Worthing,GBR,100000
226,Worcester,GBR,95000
674,Wonju,KOR,237460
312,Wonderboom,ZAF,283289
203,Wolverhampton,GBR,242000
227,Woking/Byfleet,GBR,92000
898,Witten,DEU,103384
319,Witbank,ZAF,167183
777,Winnipeg,CAN,618477
14,Willemstad,ANT,2345
434,Wien,AUT,1608144
661,West Island,CCK,167
767,Weno,FSM,22000
315,Welkom,ZAF,203296
620,Weihai,CHN,128888
144,Watford,GBR,113080
796,Warri,NGA,126100
376,Wardha,IND,102985
462,Warangal,IND,447657
138,Walsall,GBR,174739
579,Wafangdian,CHN,251733
767,Wadi al-Sir,JOR,89104
922,Wad Madani,SDN,211362
